epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,4690.96,1.00174,0.8192,1.18849,0.79555,0.68522,0.76118,0.4456,1.47163,1.02022,1.4314,0.0077626,0.0077626,0.0077626
115,4732.75,1.02529,0.82794,1.19843,0.76844,0.69284,0.75657,0.4425,1.4599,1.03372,1.41884,0.0077428,0.0077428,0.0077428
116,4774.03,1.02706,0.83512,1.19898,0.79667,0.6952,0.76707,0.44383,1.45312,1.03089,1.41298,0.007723,0.007723,0.007723
117,4816.23,1.01887,0.82278,1.18961,0.81532,0.67497,0.76699,0.4431,1.45437,1.02748,1.41292,0.0077032,0.0077032,0.0077032
118,4858.46,1.01891,0.81469,1.19129,0.8099,0.67024,0.76297,0.44508,1.45511,1.02371,1.4126,0.0076834,0.0076834,0.0076834
119,4900.13,1.01377,0.80934,1.19215,0.79666,0.68306,0.75325,0.4364,1.46094,1.03554,1.42141,0.0076636,0.0076636,0.0076636
120,4938.93,1.01332,0.81942,1.19339,0.79766,0.69492,0.7515,0.43588,1.46213,1.02048,1.41998,0.0076438,0.0076438,0.0076438
121,4977.96,1.00997,0.81959,1.18754,0.79202,0.69231,0.75414,0.43855,1.46285,1.00986,1.42032,0.007624,0.007624,0.007624
122,5019.16,1.0122,0.81728,1.18814,0.8156,0.68397,0.75901,0.4404,1.46336,1.0029,1.42283,0.0076042,0.0076042,0.0076042
123,5059.79,1.01101,0.811,1.18993,0.81381,0.67613,0.7586,0.44696,1.45187,1.01594,1.40452,0.0075844,0.0075844,0.0075844
124,5098.7,1.00771,0.80341,1.18429,0.82098,0.6995,0.77281,0.45109,1.44611,1.01139,1.40311,0.0075646,0.0075646,0.0075646
125,5139,1.01429,0.82316,1.18832,0.84848,0.68353,0.7677,0.44696,1.45908,1.02096,1.42071,0.0075448,0.0075448,0.0075448
126,5179.76,1.00584,0.80236,1.17717,0.82846,0.69684,0.77519,0.44521,1.45564,1.00807,1.41462,0.007525,0.007525,0.007525
127,5221.61,1.02276,0.81155,1.19376,0.81626,0.69346,0.76786,0.44998,1.45516,0.99101,1.41233,0.0075052,0.0075052,0.0075052
128,5263.95,1.00286,0.80793,1.18479,0.82097,0.69928,0.76632,0.44901,1.45875,1.00555,1.41068,0.0074854,0.0074854,0.0074854
129,5305.24,0.99566,0.79381,1.17922,0.82668,0.69204,0.77457,0.45293,1.44342,0.98781,1.40018,0.0074656,0.0074656,0.0074656
130,5346.24,0.99411,0.79298,1.17535,0.80762,0.70582,0.77245,0.45469,1.44862,0.98749,1.40143,0.0074458,0.0074458,0.0074458
131,5386.35,0.99121,0.7902,1.18364,0.84355,0.66762,0.77168,0.45151,1.45075,0.98278,1.40204,0.007426,0.007426,0.007426
132,5427.23,1.00623,0.80457,1.18165,0.80775,0.69091,0.77282,0.45332,1.44588,0.98122,1.39515,0.0074062,0.0074062,0.0074062
133,5467.22,0.99284,0.7881,1.17599,0.80776,0.7126,0.77929,0.45621,1.44506,0.98092,1.40025,0.0073864,0.0073864,0.0073864
134,5509.43,1.00127,0.78838,1.17763,0.8111,0.71582,0.77877,0.4575,1.45086,0.96944,1.40616,0.0073666,0.0073666,0.0073666
135,5551.27,0.99547,0.79453,1.17603,0.8377,0.69627,0.78008,0.46066,1.44692,0.97291,1.40839,0.0073468,0.0073468,0.0073468
136,5591.1,0.9933,0.78827,1.17481,0.8505,0.69593,0.78361,0.46625,1.4391,0.96565,1.40436,0.007327,0.007327,0.007327
137,5633.34,0.98851,0.77569,1.17396,0.84495,0.70944,0.79115,0.46126,1.44824,0.9543,1.41158,0.0073072,0.0073072,0.0073072
138,5674.58,1.00116,0.78658,1.17589,0.84953,0.70588,0.78226,0.45425,1.46011,0.96906,1.42135,0.0072874,0.0072874,0.0072874
139,5716.4,0.9812,0.7713,1.17232,0.8332,0.71291,0.77858,0.45021,1.45876,0.97311,1.41885,0.0072676,0.0072676,0.0072676
140,5758.36,0.97765,0.77929,1.16924,0.82099,0.72076,0.77937,0.44931,1.47341,0.97983,1.43107,0.0072478,0.0072478,0.0072478
141,5800.31,0.99341,0.76978,1.17568,0.82627,0.71338,0.77846,0.45266,1.46931,0.9727,1.42326,0.007228,0.007228,0.007228
142,5842.14,0.98218,0.76976,1.17133,0.82047,0.71023,0.78357,0.45588,1.46912,0.96041,1.42104,0.0072082,0.0072082,0.0072082
143,5884.03,0.98916,0.77899,1.171,0.83727,0.69607,0.782,0.46185,1.47215,0.96581,1.4204,0.0071884,0.0071884,0.0071884
144,5926.05,0.9749,0.77666,1.16688,0.85663,0.69115,0.78051,0.45888,1.46231,0.97334,1.41597,0.0071686,0.0071686,0.0071686
145,5965.49,0.98131,0.79174,1.16812,0.83105,0.70676,0.78417,0.46502,1.45924,0.96381,1.41548,0.0071488,0.0071488,0.0071488
146,6006.42,0.97808,0.76364,1.16515,0.84499,0.70735,0.78695,0.46344,1.45401,0.96368,1.41547,0.007129,0.007129,0.007129
147,6048.5,0.98062,0.76549,1.16652,0.84292,0.70309,0.78881,0.46527,1.45351,0.96298,1.41443,0.0071092,0.0071092,0.0071092
148,6090.69,0.98541,0.77644,1.16479,0.80633,0.72626,0.78693,0.46487,1.45061,0.96481,1.40836,0.0070894,0.0070894,0.0070894
149,6133.35,0.97918,0.76917,1.16943,0.8081,0.72314,0.78477,0.46167,1.45275,0.95715,1.40802,0.0070696,0.0070696,0.0070696
150,6170.59,0.98149,0.76776,1.16564,0.84078,0.704,0.7855,0.46121,1.45543,0.95428,1.40689,0.0070498,0.0070498,0.0070498
151,6207.81,0.97096,0.76856,1.16131,0.83737,0.71148,0.78587,0.46144,1.44596,0.94979,1.39857,0.00703,0.00703,0.00703
152,6244.99,0.98205,0.76727,1.16665,0.83789,0.71161,0.78656,0.46343,1.44342,0.94921,1.3985,0.0070102,0.0070102,0.0070102
153,6282.08,0.98888,0.77303,1.17101,0.83703,0.71239,0.79049,0.46664,1.44477,0.94457,1.40112,0.0069904,0.0069904,0.0069904
154,6319.39,0.97349,0.76482,1.16632,0.82985,0.72065,0.78922,0.46536,1.44632,0.9413,1.39816,0.0069706,0.0069706,0.0069706
155,6356.6,0.97412,0.76002,1.16143,0.83287,0.71904,0.79045,0.46634,1.44046,0.94544,1.39471,0.0069508,0.0069508,0.0069508
156,6393.87,0.96882,0.7554,1.16213,0.82255,0.7195,0.78939,0.46587,1.4445,0.94238,1.39986,0.006931,0.006931,0.006931
157,6431.04,0.97359,0.75053,1.16031,0.81608,0.7199,0.78652,0.46522,1.44325,0.93667,1.40212,0.0069112,0.0069112,0.0069112
158,6468.2,0.97123,0.76184,1.15782,0.81246,0.73227,0.78936,0.46591,1.44973,0.94486,1.40932,0.0068914,0.0068914,0.0068914
159,6505.36,0.95775,0.73845,1.1535,0.81209,0.72415,0.78964,0.46809,1.44693,0.94713,1.40531,0.0068716,0.0068716,0.0068716
160,6542.6,0.97015,0.75356,1.1586,0.82187,0.71429,0.78842,0.469,1.44225,0.94414,1.40205,0.0068518,0.0068518,0.0068518
161,6579.83,0.96612,0.75742,1.16026,0.81307,0.71307,0.79527,0.46975,1.4373,0.93941,1.39559,0.006832,0.006832,0.006832
162,6617.03,0.97073,0.74919,1.16308,0.82341,0.70341,0.78964,0.46931,1.43451,0.93393,1.39266,0.0068122,0.0068122,0.0068122
163,6654.21,0.95542,0.73671,1.15624,0.82749,0.72347,0.79275,0.47025,1.43463,0.93936,1.3933,0.0067924,0.0067924,0.0067924
